"","scientificName","eventDate","author","provenance","url","geometry"
"84","Codium fragile subsp. fragile",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-137851.464228114, 171473.936903141)
"85","Ciona intestinalis",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-216953.530512686, -183392.521015391)
"86","Botryllus schlosseri",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-125415.355623407, -141127.841361971)
"87","Carcinus maenas","2010-05-14","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(14910.9628918689, 84296.2334784741)
"88","Carcinus maenas","2010-07-19","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(159008.437508681, 148180.079313139)
"89","Styela clava",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(43891.068690601, 81113.4507893762)
"90","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(37619.4293047802, 103946.535844693)
"91","Carcinus maenas","2009-05-15","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(63179.8128290672, 119250.923777119)
"92","Carcinus maenas","2014-08-27","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(-24730.191305995, 99168.1398084264)
"93","Botrylloides violaceus",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-64359.410875648, -70964.5378779859)
"94","Botrylloides violaceus","2018-09-20","GFC","OBIS","https://obis.org/dataset/b3e37be8-62ed-49c6-b171-444e83731e57",c(29747.511501498, 125880.743535224)
"95","Ciona intestinalis",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-97283.166065829, -98043.274014968)
"96","Carcinus maenas","2010-06-24","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(92781.3373515706, 40580.5748345068)
"97","Ciona intestinalis",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-95550.9401465449, -101516.980641123)
"98","Caprella mutica",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-64359.410875648, -70964.5378779859)
"99","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(93644.0838603111, 41836.473536158)
"100","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(63450.1839059422, 117715.497319834)
"101","Membranipora membranacea",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(153925.773065238, 78162.5713205335)
"102","Botryllus schlosseri","2018-09-27","GFC","OBIS","https://obis.org/dataset/b3e37be8-62ed-49c6-b171-444e83731e57",c(93522.2195767299, 51353.1685470152)
"103","Botrylloides violaceus",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-95090.1472159556, -111301.327232703)
"104","Caprella mutica",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(166775.874006194, 34288.886497239)
"105","Carcinus maenas","2014-08-21","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(76139.4854101581, 120756.175077615)
"106","Carcinus maenas","2010-05-19","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(126890.809220538, 88606.9650777105)
"107","Botryllus schlosseri","2018-10-04","GFC","OBIS","https://obis.org/dataset/b3e37be8-62ed-49c6-b171-444e83731e57",c(32170.3341334255, 48826.4227733088)
"108","Carcinus maenas","2010-07-19","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(40247.3340556403, 99893.1032264945)
"109","Carcinus maenas","2011-06-06","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(63134.2087239397, 117006.528874848)
