,river,g,mean_priority,metric,value,norm,score,goal
469,GASPEREAU,22,0.393983533,RecFishproportion,3,50,50,RecFishproportion
470,GASPEREAU,22,0.393983533,NSParksproportion,7,24.13793103,24.13793103,NSParksproportion
471,GASPEREAU,22,0.393983533,salmon_stat_avg,0,0,0,salmon_stat_avg
472,GASPEREAU,22,0.393983533,habitat_suitability_avg,0.337348341,33.05535312,33.05535312,habitat_suitability_avg
473,GASPEREAU,22,0.393983533,road_desnity_avg,2.747353109,76.45694674,76.45694674,road_desnity_avg
474,GASPEREAU,22,0.393983533,Temp_Vel_avg,1.581421812,3.48255889,3.48255889,Temp_Vel_avg
475,GASPEREAU,22,0.393983533,X_stream_avg,0.916509601,80.830652,80.830652,X_stream_avg
476,GASPEREAU,22,0.393983533,AqBarrier_avg,0.265872027,49.30280384,49.30280384,AqBarrier_avg
477,GASPEREAU,22,0.393983533,urban_land_avg,11.17340892,47.32979385,47.32979385,urban_land_avg
478,GASPEREAU,22,0.393983533,clear_cut_avg,4.184098189,26.74474611,26.74474611,clear_cut_avg
479,GASPEREAU,22,0.393983533,agri_avg,33.53235266,100,100,agri_avg
480,GASPEREAU,22,0.393983533,Impv_avg,0.502175913,12.37789078,12.37789078,Impv_avg
481,GASPEREAU,22,0.393983533,N_Leach_avg,33.52549144,100,100,N_Leach_avg
482,GASPEREAU,22,0.393983533,P_Leach_avg,0.518931787,100,100,P_Leach_avg
483,GASPEREAU,22,0.393983533,pesticide_avg,1.278733772,100,100,pesticide_avg
484,GASPEREAU,22,0.393983533,pollution_avg,0,0,0,pollution_avg
793,SISSIBOO_BEAR.1,37,0.399464966,SARproportion,0,0,0,SARproportion
794,SISSIBOO_BEAR.1,37,0.399464966,detections,0,0,0,detections
795,SISSIBOO_BEAR.1,37,0.399464966,BoatLaunch,0,0,0,BoatLaunch
796,SISSIBOO_BEAR.1,37,0.399464966,EBSAproportion,1,20,20,EBSAproportion
797,SISSIBOO_BEAR.1,37,0.399464966,NSResproportion,0,0,0,NSResproportion
798,SISSIBOO_BEAR.1,37,0.399464966,nativeFish,0,0,0,nativeFish
799,SISSIBOO_BEAR.1,37,0.399464966,RecFishproportion,1,0,0,RecFishproportion
800,SISSIBOO_BEAR.1,37,0.399464966,NSParksproportion,1,3.448275862,3.448275862,NSParksproportion
801,SISSIBOO_BEAR.1,37,0.399464966,salmon_stat_avg,0,0,0,salmon_stat_avg
802,SISSIBOO_BEAR.1,37,0.399464966,habitat_suitability_avg,0.758,76.01669044,76.01669044,habitat_suitability_avg
803,SISSIBOO_BEAR.1,37,0.399464966,road_desnity_avg,3.023671507,87.0340663,87.0340663,road_desnity_avg
